source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
source table,Class Bible / people source,✅✅135学员-NEWBIBLE_（Dcode),tblvUM8rvqDXZF2v,143,10,0,"基础报读日期; 高阶四已进课室; 8%SST; IC No; 杂费定金付费方式_高二  (A,B,C,D); 高阶二确认期别 (A,B,C,D); EMO 英文名字; 孩子; SO/Transfer No.; 文字-4; 高阶二教练; 高阶三已进课室人数; 高阶二C1-4信息  (A,B,C,D); 高阶一问卷(A,B,C,D); 高阶报读日期  (A,B,C,D); 高阶二卓越宣言表  (A,B,C,D); 基础健康; 高阶补款 (A,B,C,D); 补款; 高阶一已进课室人数",Bible (不能删&不能动任何东西）; 客服联系; 确认138; 分emo; 表格 2(dashboard_view); 【外】团队数据; 表格 5(dashboard_view); 表格 6(dashboard_view); Agnes专属; 基础已进课室,
derived/reporting table,Reporting / result,总结合,tblovPu6jJdNFC4i,30,3,0,EMO 华语名字; 基础学员名字; 营业额（经营企业）; Cashflow; 婚姻状况; 事业结合; 孩子几个; 文本; 年收入; 为何而来？; 工作; 教练名字; 职位; 企业人数; 中心全报位置; 年龄; 负债; 行业性质; 学员事业背景; 学员这几天发现自己什么？要进步的原因是什么？,Grade ABC; 教练小组; 表格 3(dashboard_view),
derived/reporting table,Scoring / grading,Grade ABC【EMO】,tblAyZdHNuPr3jPN,28,2,0,字段 3; 字段 5; Emo华语全名; 字段 1; 联络电话号码; 字段 6; 连报; 华语全名; 有几个孩子？; 字段 4; 职业（行业）; 营业额（经营企业）; 为何而来？; Cashflow; 源头; 存款大约多少？; Timestamp; 英语全名; 年收入; Emo期别,Grade ABC【EMO】; 基础课程 - 海星资料,
working table,Working / data entry,Grade ABC【教练填】,tblfYseSe4FWWHVL,6,2,0,"学员这几天发现自己什么？要进步的原因是什么？; 学员态度
A: 主动+真诚
B: 真诚 但不一定主动
C: 不开放; Timestamp; 教练; 学员华语名字; 学员事业背景",教练填的; KLCP基础课程  -  学员位置,
working table,Profile / roster,✅教练名单（中心）,tblkZrtQkV0UA3bh,41,6,0,Buddy; 承诺于KLCP教练付出之路，并服从以下教练行为守则。; 年收入水平; 娘家直属教练; 部门; 联系号码; 娘家期别; 我要创造的价值是什么？我承诺予团队的是什么？多说一说; 电子邮箱; 身份证号码/护照号码; 教练级别; 工作年资; 誓约（期别，名字，誓约）; 中文全名 2; 对事业的愿景; 教练List; 最亲密家庭成员，联系号码（名字/关系/联络号码）; 这段教练之路，可能会出现什么障碍/干扰/挑战？如果以上发生，你有什么新的可能性？; 英文名字 (as per IC); 付出期别 4 /职位/ 摇篮曲,教练团资料; 135教练填写表单; >131-教练填写表单; 表格 2(dashboard_view); 表格 3(dashboard_view); 表格 4(dashboard_view),
source table,Class Bible / people source,✅✅135教练-NEWBIBLE_（Dcode),tblZXi0lTyS4xgnA,138,3,0,"序号; 高阶二C1-3信息  (A,B,C,D); 孩子; EMO 英文名字; 余款; 信念系统当班  (A,B,C,D); 高阶一问卷(A,B,C,D); 高阶-Invoice Name; 行业性质; 付费方式 (1); 基础1call; 膳食; 文字-2; 信念系统日期  (A,B,C,D); 基础学费; 高阶一确认当班人数; 文字-6; 基础已进课室（KLCP); 公司名称; 高阶一已进课室人数",Bible (不能删&不能动任何东西）; 客服联系; 确认137,
working table,Other,✅课程报名,tblGJtbeY5XkVZkT,8,1,0,8% SST (RM); SourceID; 杂费 (RM); 学费 (RM); 定金 (RM); Grand Total (RM); Total (RM); 课程内容,Grid,
derived/reporting table,Reporting / result,✅✅135-WHOLE-MASTERLIST【基础-高四】,tbla5XBMBvsOpNkQ,139,37,0,"杂费定金  (A,B,C,D); 文字-6; 基础问卷; 高阶二确认当班 (A,B,C,D); 孩子; 基础健康面谈; 基础学费; 高阶一已进课室; 杂费定金余款 (A,B,C,D); 付费方式 (1); 基础确认期别; 基础转名额; 高阶一确认期别人数; 高阶健康面谈; 高阶一1 Call Status (A,B,C,D); 定金; 基础2Call; 电话; 行业性质; 基础确认当班",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account; 【高一】Masterlist,
working table,Other,数据表,tblQEhds5lPRfxpA,2,1,0,1; 2,表格,
derived/reporting table,Reporting / result,✅✅135-【神奇宝宝】-WHOLE-MASTERLIST【基础-高四】,tblV7RhOEeEWeJUU,138,20,0,"文字-3; 高阶二C1-3信息  (A,B,C,D); 高阶二教练; 基础确认期别; 高阶四已进课室人数; 基础阶段教练; 基础已进课室（KLCP); 酒店费用; 高阶余款  (A,B,C,D); 文字-5; 8%SST; 杂费定金补款  (A,B,C,D); 高阶付费方式_1  (A,B,C,D); 高阶健康面谈; EMO 英文名字; 高阶三已进课室人数; 基础已进课室人数; 膳食费用; 高阶转名额; 高阶二已进课室 (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; 【神奇】填资料; Account【基础课前】; 【基础】Masterlist【前中后】; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; ❌高阶一Whole Materlist; 高阶一Bible Account; 【基础Final Masterlist-守则离开】,
