category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms,errors
Bible core,✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,144,9,0,"EMO 华语名字; 基础1call; 个人海星位置; 基础健康面谈; 基础确认当班; 高阶一2CalL (A,B,C,D); 年龄; 字段 2; 杂费定金  (A,B,C,D); 高阶一C1-3信息  (A,B,C,D); 基础C1-3信息; 高阶一酒店费用  (A,B,C,D); 高阶健康; 杂费定金付费方式 (A,B,C,D); 高阶转名额; 文字-6; 高阶余款  (A,B,C,D); 职位; 高阶 - 全款/订金; 杂费定金余款 (A,B,C,D); 付费方式; 酒店费用; 基础C1-4信息; SO/Transfer No.; 信念系统日期  (A,B,C,D)",Bible (不能删&不能动任何东西）; 客服联系; 确认138; 分emo; 【外】团队数据; Agnes专属; Grid 7(dashboard_view); Grid 7; 表格 8(dashboard_view),,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Summary / aggregation,总结合,tbl642uyWaEnVkbw,32,3,0,事业结合; 为谁而来？; 学员态度A: 主动+真诚B: 真诚 但不一定主动C: 不开放; 结果期别; 存款大约多少？; Connie ABC; 源头; 基础已进课室; 年收入; Copy_学员的名字过来; 职位; 中心全报位置; 佩玲ABC; 教练名字; 工作; 学员事业背景; 孩子几个; EMO 华语名字; 营业额（经营企业）; 基础离开; Cashflow; 企业人数; 学员这几天发现自己什么？要进步的原因是什么？; 为何而来？; 基础学员名字,Grade ABC; 教练小组; 表格 3(dashboard_view),,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Scoring / grading,Grade ABC【EMO】,tbl6T4FpFyR4b58Q,26,2,0,海星华语全名; 工作; 为何而来？; 联络电话号码; 其他期别-Emo名字; 源头; Emo名字【结合】; 婚姻状况; 企业人数; Timestamp; 为谁而来？; 负债; 133-Emo华语全名; Emo期别; 海星英语全名; 职业（行业）; 营业额（经营企业）; 连报; Cashflow; 年收入; 职位; 132-Emo华语全名; 有几个孩子？; 135-Emo华语全名; 年龄,Grade ABC【EMO】; 136基础课程 - 海星资料,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Scoring / grading,Grade ABC【教练填】,tblRWgxhglDxpFn0,6,2,0,"学员态度
A: 主动+真诚
B: 真诚 但不一定主动
C: 不开放; Timestamp; 教练; 学员华语名字; 学员事业背景; 学员这几天发现自己什么？要进步的原因是什么？",教练填的; KLCP136基础课程  -  学员位置,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Coach roster,✅教练名单（中心）,tblGUjQxgo5Ipz0W,41,3,0,工作年资; 期别 112/116/128; 住家地址; Buddy; 年收入水平; 身份证号码/护照号码; 公司地址; Buddy Copy; 我要创造的价值是什么？我承诺予团队的是什么？多说一说; 中文全名 副本; 公司名称; 付出期别 1 /职位/ 摇篮曲; 主要家庭成员; 本人签名; 当教练的目的，多说一说; 对家庭的愿景; 电子邮箱; 教练级别; 教练确定(中心）; 高阶四阶段摇篮曲（三周末）; 我承诺于KLCP教练付出之路，并服从以下教练行为守则。; 职位; 娘家直属教练; 教练List; 娘家期别,教练团资料; 136教练填写表单; >131-教练填写表单,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Bible core,✅✅136教练-NEWBIBLE_（Dcode),tblinixxUxRFCwRm,200,4,0,"高阶一离开 (A,B,C,D); 字段 86; 字段 87; 膳食; 字段 5; 毕业证 (A,B,C,D); 付费方式 (1); 字段 95; 客户等级; 基础 - 全款/订金; SO/Transfer No.; 字段 55; 高阶二已进课室人数; 字段 12; 生日日期; 字段 100; 州; 基础确认期别; 邮箱; 酒店费用; 字段 99; 付费方式; 字段 56; 基础2Call; 高阶定金 (A,B,C,D)",Bible (不能删&不能动任何东西）; 客服联系; 确认138; Grid 4,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Registration,✅课程报名,tblEryveHiL5zhXw,8,1,0,SourceID; 定金 (RM); 杂费 (RM); 学费 (RM); 课程内容; Total (RM); Grand Total (RM); 8% SST (RM),Grid,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Masterlist / final list,✅✅136-WHOLE-MASTERLIST【基础-高四】,tbli7eKtZoR3FHGo,141,38,0,"高阶一确认当班 (A,B,C,D); 州; 市区; 文字-1; 杂费定金  (A,B,C,D); 文字-3; 文字-6; 学号; 高阶二卓越宣言表  (A,B,C,D); 高阶一确认当班人数; 高阶一教练; SO/Transfer No.; 高阶四已进课室人数; 高阶健康; 基础已进课室+英文名字; 基础报读日期; 高阶二后离开原因; 高阶余款  (A,B,C,D); 膳食费用; 高阶补款 (A,B,C,D); 个人海星位置; EMO 华语名字; 高阶一酒店费用  (A,B,C,D); 高阶总费用 (A,B,C,D); 高阶 - 全款/订金",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist】 副本; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; nana; 高阶一BIBLE Account; 高阶一A-Z; 【高一】Masterlist; 【高一】Account,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Backlog / transition,✅✅136-旧Backlog【基础-高四】,tblYTjyktzYogxgI,141,26,0,"杂费定金付费方式_高二  (A,B,C,D); 高阶一确认期别 (A,B,C,D); 基础已进课室人数; 高阶付费方式 (A,B,C,D); 公司规模 (多少人); 2 Call Status /学员的位置  (A,B,C,D); 地址; 高阶二C1-4信息  (A,B,C,D); 孩子; 基础确认当班; IC No; 高阶一1 Call Status (A,B,C,D); EMO期别; 高阶 - 全款/订金; 高阶三已进课室; 膳食; 基础1call; 【报到】高阶二几点到; 华语名字; 高阶二酒店费用  (A,B,C,D); 信念系统当班  (A,B,C,D); 高阶二C1-3信息  (A,B,C,D); 【报到】高阶一几点到; 高阶三已进课室人数; 高阶四已进课室",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account; 高阶一A-Z; 【高一】Masterlist; 【高一】2CALL; 【高一】Account; 【高一】Final Masterlist,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
Masterlist / final list,✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】,tblPKvDeyibe8k9S,141,26,0,"年收入; 基础确认期别; 州; 高阶一1 Call Status (A,B,C,D); EMO期别; 高阶二已进课室 (A,B,C,D); 孩子; EMO 联络号码; 邮政编号; 膳食费用; 高阶一确认期别人数; 英文名字; 高阶付费方式_1; 高阶一2CalL (A,B,C,D); 文字-1; 定金; 杂费定金付费方式_高二  (A,B,C,D); 公司名称; 高阶一确认当班人数; 高阶二1 Call Status (A,B,C,D); 信念系统当班期别 (A,B,C,D); 高阶二酒店费用  (A,B,C,D); 个人海星位置; 结果期别; 毕业证 (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account; 高阶一A-Z; 【高一】Masterlist; 【高一】2CALL; 【高一】Account; 【高一】Final Masterlist,,"{
  ""ok"": false,
  ""identity"": ""user"",
  ""error"": {
    ""type"": ""missing_scope"",
    ""message"": ""missing required scope(s): base:form:read"",
    ""hint"": ""run `lark-cli auth login --scope \""base:form:read\""` in the background. It blocks and outputs a verification URL — retrieve the URL and open it in a browser to complete login.""
  }
}"
