source_role,category,table_name,table_id,field_count,view_count,form_count,sample_fields,views,forms
source table,Class Bible / people source,✅✅136学员-NEWBIBLE_（Dcode),tbloNC2PXiCTMGfQ,144,9,0,"高阶一已进课室; 邮箱; 基础确认期别; 高阶健康; 基础1call; 高阶付费方式_1  (A,B,C,D); 高阶二后离开(A,B,C,D); 公司名称; 年历; EMO期别; 文字-4; 高阶二总费用  (A,B,C,D); 信念系统当班期别 (A,B,C,D); 序号——; 客户等级; 文字-2; 杂费定金补款  (A,B,C,D); 杂费定金余款 (A,B,C,D); 报名时间段; 字段 5",Bible (不能删&不能动任何东西）; 客服联系; 确认138; 分emo; 【外】团队数据; Agnes专属; Grid 7(dashboard_view); Grid 7; 表格 8(dashboard_view),
derived/reporting table,Reporting / result,总结合,tbl642uyWaEnVkbw,32,3,0,Connie ABC; 营业额（经营企业）; 事业结合; 年龄; 中心全报位置; 教练名字; Copy_学员的名字过来; 为谁而来？; 基础已进课室; Cashflow; 工作; 婚姻状况; 结果期别; EMO 联络号码; 源头; 基础学员名字; 学员态度A: 主动+真诚B: 真诚 但不一定主动C: 不开放; EMO 华语名字; 学员这几天发现自己什么？要进步的原因是什么？; 负债,Grade ABC; 教练小组; 表格 3(dashboard_view),
derived/reporting table,Scoring / grading,Grade ABC【EMO】,tbl6T4FpFyR4b58Q,26,2,0,为谁而来？; 负债; 为何而来？; 职业（行业）; 有几个孩子？; Emo名字【结合】; 婚姻状况; 企业人数; 海星英语全名; 工作; 135-Emo华语全名; 年龄; 其他期别-Emo名字; 营业额（经营企业）; 连报; 存款大约多少？; 海星华语全名; Emo期别; 源头; 年收入,Grade ABC【EMO】; 136基础课程 - 海星资料,
working table,Working / data entry,Grade ABC【教练填】,tblRWgxhglDxpFn0,6,2,0,"教练; 学员华语名字; 学员事业背景; 学员这几天发现自己什么？要进步的原因是什么？; 学员态度
A: 主动+真诚
B: 真诚 但不一定主动
C: 不开放; Timestamp",教练填的; KLCP136基础课程  -  学员位置,
working table,Profile / roster,✅教练名单（中心）,tblGUjQxgo5Ipz0W,41,3,0,付出期别 4 /职位/ 摇篮曲; 对事业的愿景; 这段教练之路，可能会出现什么障碍/干扰/挑战？如果以上发生，你有什么新的可能性？; 对家庭的愿景; Buddy; 公司名称; 付出期别 1 /职位/ 摇篮曲; 主要家庭成员; 娘家期别; 性别; 电子邮箱; 承诺于KLCP教练付出之路，并服从以下教练行为守则。; 职位; 誓约（期别，名字，誓约）; Buddy Copy; 本人签名; 期别 112/116/128; 住家地址; 部门; 教练List,教练团资料; 136教练填写表单; >131-教练填写表单,
source table,Class Bible / people source,✅✅136教练-NEWBIBLE_（Dcode),tblinixxUxRFCwRm,200,4,0,"基础转名额; 字段 11; 付费方式 (1); 字段 89; 字段 107; 杂费定金  (A,B,C,D); 高阶一2CalL (A,B,C,D); 字段 71; 字段 85; 字段 27; 字段 101; 字段 103; 高阶二2Call  (A,B,C,D); 高阶一已进课室人数; 高阶二确认当班 (A,B,C,D); 字段 55; 杂费定金付费方式 (A,B,C,D); Mark有约意愿度; 高阶二教练; 高阶SO/Transfer No. (A,B,C,D)",Bible (不能删&不能动任何东西）; 客服联系; 确认138; Grid 4,
working table,Other,✅课程报名,tblEryveHiL5zhXw,8,1,0,Total (RM); 定金 (RM); 8% SST (RM); 杂费 (RM); SourceID; Grand Total (RM); 学费 (RM); 课程内容,Grid,
derived/reporting table,Reporting / result,✅✅136-WHOLE-MASTERLIST【基础-高四】,tbli7eKtZoR3FHGo,141,38,0,"高阶总费用 (A,B,C,D); 基础确认期别; 学号; 备注-转海星/消耗; 公司规模 (多少人); 高阶学费  (A,B,C,D); 基础C1-4信息/Account Check; 补款; 高阶一C1-4信息  (A,B,C,D); 文字-6; 高阶二1 Call Status (A,B,C,D); 高阶二已进课室 (A,B,C,D); 杂费定金补款  (A,B,C,D); 英文名字; 高阶四已进课室; 高阶二已进课室人数; 基础 - 全款/订金; 高阶二后离开(A,B,C,D); 基础1call; 个人海星位置",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist】 副本; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist,
legacy/archive table,Backlog / legacy / lifecycle,✅✅136-旧Backlog【基础-高四】,tblYTjyktzYogxgI,141,26,0,"文字-5; 高阶二C1-4信息  (A,B,C,D); 高阶一已进课室人数; 高阶四已进课室; 高阶二已进课室人数; 备注; 信念系统日期  (A,B,C,D); 基础2Call Status
来的目的、急需解决的问题; 州; 孩子; 基础确认当班; SO/Transfer No.; 基础酒店人数; 华语名字; 年历; 公司规模 (多少人); 高阶一离开 (A,B,C,D); 基础已进课室（KLCP); 高阶一问卷(A,B,C,D); 高阶余款  (A,B,C,D)",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account,
derived/reporting table,Reporting / result,✅✅136-【神奇宝宝】WHOLE-MASTERLIST【基础-高四】,tblPKvDeyibe8k9S,141,26,0,"高阶二后离开原因; Mark有约意愿度; 邮箱; 高阶三已进课室; 全报; 高阶二确认当班 (A,B,C,D); 高阶健康面谈; 杂费定金  (A,B,C,D); 基础1 Call Status; 高阶报读日期  (A,B,C,D); 高阶二1call  (A,B,C,D); 文字-1; 电话; 基础转名额; 毕业证 (A,B,C,D); 高阶-Invoice Name; 高阶二总费用  (A,B,C,D); 文字-5; 高阶余款  (A,B,C,D); 邮政编号",❌Whole Masterlist(不能删&不能动任何东西）; Account【基础课前】; 【基础】Masterlist【前中后】; 报到; 【教练小组】; 【扣高阶结果】; 【基础Final Masterlist】; 【基础Final Masterlist-守则离开】; ❌高阶一Whole Materlist; 高阶一Bible Account,
